Category: Finance

Week,Microsoft Corporation: (Worldwide)
2017-04-02,26
2017-04-09,24
2017-04-16,25
2017-04-23,31
2017-04-30,29
2017-05-07,29
2017-05-14,33
2017-05-21,27
2017-05-28,27
2017-06-04,26
2017-06-11,31
2017-06-18,25
2017-06-25,26
2017-07-02,29
2017-07-09,29
2017-07-16,35
2017-07-23,29
2017-07-30,29
2017-08-06,30
2017-08-13,27
2017-08-20,30
2017-08-27,32
2017-09-03,30
2017-09-10,34
2017-09-17,32
2017-09-24,36
2017-10-01,31
2017-10-08,36
2017-10-15,33
2017-10-22,36
2017-10-29,35
2017-11-05,37
2017-11-12,34
2017-11-19,36
2017-11-26,32
2017-12-03,35
2017-12-10,36
2017-12-17,33
2017-12-24,51
2017-12-31,36
2018-01-07,40
2018-01-14,35
2018-01-21,37
2018-01-28,39
2018-02-04,36
2018-02-11,36
2018-02-18,36
2018-02-25,37
2018-03-04,36
2018-03-11,36
2018-03-18,36
2018-03-25,39
2018-04-01,35
2018-04-08,36
2018-04-15,38
2018-04-22,43
2018-04-29,37
2018-05-06,34
2018-05-13,34
2018-05-20,35
2018-05-27,37
2018-06-03,35
2018-06-10,34
2018-06-17,34
2018-06-24,35
2018-07-01,34
2018-07-08,36
2018-07-15,41
2018-07-22,37
2018-07-29,37
2018-08-05,39
2018-08-12,41
2018-08-19,36
2018-08-26,37
2018-09-02,37
2018-09-09,35
2018-09-16,36
2018-09-23,35
2018-09-30,38
2018-10-07,40
2018-10-14,38
2018-10-21,41
2018-10-28,37
2018-11-04,31
2018-11-11,36
2018-11-18,36
2018-11-25,37
2018-12-02,34
2018-12-09,35
2018-12-16,29
2018-12-23,43
2018-12-30,34
2019-01-06,32
2019-01-13,34
2019-01-20,34
2019-01-27,41
2019-02-03,42
2019-02-10,36
2019-02-17,35
2019-02-24,36
2019-03-03,36
2019-03-10,35
2019-03-17,37
2019-03-24,40
2019-03-31,38
2019-04-07,37
2019-04-14,36
2019-04-21,46
2019-04-28,39
2019-05-05,37
2019-05-12,35
2019-05-19,36
2019-05-26,36
2019-06-02,42
2019-06-09,41
2019-06-16,42
2019-06-23,41
2019-06-30,34
2019-07-07,43
2019-07-14,45
2019-07-21,44
2019-07-28,47
2019-08-04,42
2019-08-11,44
2019-08-18,46
2019-08-25,43
2019-09-01,44
2019-09-08,44
2019-09-15,44
2019-09-22,44
2019-09-29,43
2019-10-06,42
2019-10-13,44
2019-10-20,52
2019-10-27,49
2019-11-03,45
2019-11-10,45
2019-11-17,48
2019-11-24,47
2019-12-01,46
2019-12-08,58
2019-12-15,49
2019-12-22,62
2019-12-29,55
2020-01-05,52
2020-01-12,57
2020-01-19,56
2020-01-26,59
2020-02-02,61
2020-02-09,67
2020-02-16,59
2020-02-23,70
2020-03-01,66
2020-03-08,85
2020-03-15,100
2020-03-22,93
2020-03-29,91
2020-04-05,81
2020-04-12,88
2020-04-19,82
2020-04-26,91
2020-05-03,77
2020-05-10,74
2020-05-17,72
2020-05-24,65
2020-05-31,71
2020-06-07,76
2020-06-14,67
2020-06-21,74
2020-06-28,72
2020-07-05,71
2020-07-12,66
2020-07-19,78
2020-07-26,69
2020-08-02,90
2020-08-09,63
2020-08-16,61
2020-08-23,73
2020-08-30,81
2020-09-06,74
2020-09-13,73
2020-09-20,69
2020-09-27,63
2020-10-04,63
2020-10-11,58
2020-10-18,57
2020-10-25,67
2020-11-01,57
2020-11-08,69
2020-11-15,68
2020-11-22,60
2020-11-29,61
2020-12-06,63
2020-12-13,67
2020-12-20,67
2020-12-27,65
2021-01-03,66
2021-01-10,65
2021-01-17,65
2021-01-24,82
2021-01-31,76
2021-02-07,65
2021-02-14,62
2021-02-21,67
2021-02-28,70
2021-03-07,67
2021-03-14,59
2021-03-21,60
2021-03-28,56
2021-04-04,63
2021-04-11,65
2021-04-18,61
2021-04-25,66
