Category: All categories

Week,Microsoft Corporation: (Worldwide)
2017-04-02,50
2017-04-09,45
2017-04-16,30
2017-04-23,46
2017-04-30,63
2017-05-07,45
2017-05-14,50
2017-05-21,40
2017-05-28,43
2017-06-04,39
2017-06-11,62
2017-06-18,41
2017-06-25,47
2017-07-02,55
2017-07-09,48
2017-07-16,39
2017-07-23,46
2017-07-30,36
2017-08-06,26
2017-08-13,48
2017-08-20,23
2017-08-27,42
2017-09-03,38
2017-09-10,37
2017-09-17,31
2017-09-24,45
2017-10-01,36
2017-10-08,48
2017-10-15,38
2017-10-22,31
2017-10-29,39
2017-11-05,45
2017-11-12,18
2017-11-19,36
2017-11-26,31
2017-12-03,35
2017-12-10,45
2017-12-17,33
2017-12-24,24
2017-12-31,31
2018-01-07,37
2018-01-14,33
2018-01-21,40
2018-01-28,57
2018-02-04,41
2018-02-11,38
2018-02-18,31
2018-02-25,32
2018-03-04,33
2018-03-11,30
2018-03-18,41
2018-03-25,39
2018-04-01,63
2018-04-08,46
2018-04-15,39
2018-04-22,42
2018-04-29,44
2018-05-06,49
2018-05-13,28
2018-05-20,39
2018-05-27,18
2018-06-03,57
2018-06-10,69
2018-06-17,37
2018-06-24,35
2018-07-01,33
2018-07-08,42
2018-07-15,37
2018-07-22,35
2018-07-29,56
2018-08-05,37
2018-08-12,38
2018-08-19,48
2018-08-26,27
2018-09-02,34
2018-09-09,35
2018-09-16,29
2018-09-23,38
2018-09-30,43
2018-10-07,38
2018-10-14,51
2018-10-21,35
2018-10-28,45
2018-11-04,39
2018-11-11,51
2018-11-18,42
2018-11-25,41
2018-12-02,54
2018-12-09,39
2018-12-16,59
2018-12-23,35
2018-12-30,39
2019-01-06,49
2019-01-13,21
2019-01-20,45
2019-01-27,55
2019-02-03,40
2019-02-10,49
2019-02-17,40
2019-02-24,38
2019-03-03,27
2019-03-10,47
2019-03-17,38
2019-03-24,46
2019-03-31,53
2019-04-07,41
2019-04-14,44
2019-04-21,54
2019-04-28,29
2019-05-05,35
2019-05-12,46
2019-05-19,27
2019-05-26,45
2019-06-02,37
2019-06-09,68
2019-06-16,51
2019-06-23,41
2019-06-30,32
2019-07-07,34
2019-07-14,42
2019-07-21,33
2019-07-28,52
2019-08-04,34
2019-08-11,40
2019-08-18,29
2019-08-25,29
2019-09-01,41
2019-09-08,35
2019-09-15,44
2019-09-22,29
2019-09-29,56
2019-10-06,27
2019-10-13,26
2019-10-20,46
2019-10-27,65
2019-11-03,39
2019-11-10,43
2019-11-17,50
2019-11-24,45
2019-12-01,30
2019-12-08,42
2019-12-15,37
2019-12-22,55
2019-12-29,19
2020-01-05,36
2020-01-12,57
2020-01-19,55
2020-01-26,57
2020-02-02,56
2020-02-09,57
2020-02-16,61
2020-02-23,52
2020-03-01,47
2020-03-08,44
2020-03-15,45
2020-03-22,61
2020-03-29,43
2020-04-05,41
2020-04-12,57
2020-04-19,62
2020-04-26,54
2020-05-03,33
2020-05-10,61
2020-05-17,54
2020-05-24,43
2020-05-31,42
2020-06-07,42
2020-06-14,41
2020-06-21,54
2020-06-28,61
2020-07-05,36
2020-07-12,61
2020-07-19,99
2020-07-26,74
2020-08-02,100
2020-08-09,59
2020-08-16,70
2020-08-23,72
2020-08-30,73
2020-09-06,46
2020-09-13,54
2020-09-20,80
2020-09-27,78
2020-10-04,48
2020-10-11,49
2020-10-18,62
2020-10-25,70
2020-11-01,37
2020-11-08,31
2020-11-15,50
2020-11-22,49
2020-11-29,52
2020-12-06,50
2020-12-13,48
2020-12-20,21
2020-12-27,98
2021-01-03,56
2021-01-10,33
2021-01-17,58
2021-01-24,65
2021-01-31,65
2021-02-07,62
2021-02-14,45
2021-02-21,48
2021-02-28,52
2021-03-07,54
2021-03-14,82
2021-03-21,60
2021-03-28,76
2021-04-04,41
2021-04-11,62
2021-04-18,39
2021-04-25,62
