Category: All categories

Week,Microsoft Corporation: (Worldwide)
2017-04-02,54
2017-04-09,50
2017-04-16,51
2017-04-23,54
2017-04-30,54
2017-05-07,54
2017-05-14,58
2017-05-21,52
2017-05-28,47
2017-06-04,50
2017-06-11,52
2017-06-18,47
2017-06-25,47
2017-07-02,47
2017-07-09,49
2017-07-16,49
2017-07-23,51
2017-07-30,50
2017-08-06,49
2017-08-13,48
2017-08-20,50
2017-08-27,51
2017-09-03,52
2017-09-10,55
2017-09-17,54
2017-09-24,56
2017-10-01,56
2017-10-08,56
2017-10-15,55
2017-10-22,53
2017-10-29,54
2017-11-05,55
2017-11-12,55
2017-11-19,54
2017-11-26,55
2017-12-03,55
2017-12-10,53
2017-12-17,49
2017-12-24,43
2017-12-31,46
2018-01-07,54
2018-01-14,53
2018-01-21,54
2018-01-28,55
2018-02-04,55
2018-02-11,50
2018-02-18,53
2018-02-25,52
2018-03-04,54
2018-03-11,53
2018-03-18,53
2018-03-25,49
2018-04-01,49
2018-04-08,51
2018-04-15,52
2018-04-22,50
2018-04-29,48
2018-05-06,48
2018-05-13,48
2018-05-20,48
2018-05-27,48
2018-06-03,52
2018-06-10,50
2018-06-17,46
2018-06-24,46
2018-07-01,44
2018-07-08,47
2018-07-15,47
2018-07-22,46
2018-07-29,47
2018-08-05,47
2018-08-12,47
2018-08-19,49
2018-08-26,50
2018-09-02,54
2018-09-09,51
2018-09-16,51
2018-09-23,52
2018-09-30,53
2018-10-07,53
2018-10-14,53
2018-10-21,53
2018-10-28,49
2018-11-04,49
2018-11-11,49
2018-11-18,50
2018-11-25,53
2018-12-02,50
2018-12-09,48
2018-12-16,46
2018-12-23,37
2018-12-30,40
2019-01-06,51
2019-01-13,50
2019-01-20,48
2019-01-27,51
2019-02-03,51
2019-02-10,51
2019-02-17,49
2019-02-24,50
2019-03-03,50
2019-03-10,49
2019-03-17,49
2019-03-24,48
2019-03-31,47
2019-04-07,48
2019-04-14,44
2019-04-21,45
2019-04-28,44
2019-05-05,47
2019-05-12,47
2019-05-19,47
2019-05-26,43
2019-06-02,46
2019-06-09,49
2019-06-16,46
2019-06-23,44
2019-06-30,43
2019-07-07,46
2019-07-14,46
2019-07-21,44
2019-07-28,45
2019-08-04,44
2019-08-11,46
2019-08-18,50
2019-08-25,50
2019-09-01,51
2019-09-08,55
2019-09-15,52
2019-09-22,50
2019-09-29,54
2019-10-06,52
2019-10-13,52
2019-10-20,52
2019-10-27,51
2019-11-03,54
2019-11-10,53
2019-11-17,54
2019-11-24,49
2019-12-01,53
2019-12-08,51
2019-12-15,48
2019-12-22,41
2019-12-29,39
2020-01-05,50
2020-01-12,58
2020-01-19,55
2020-01-26,55
2020-02-02,54
2020-02-09,56
2020-02-16,54
2020-02-23,55
2020-03-01,56
2020-03-08,61
2020-03-15,94
2020-03-22,100
2020-03-29,93
2020-04-05,87
2020-04-12,90
2020-04-19,92
2020-04-26,85
2020-05-03,86
2020-05-10,83
2020-05-17,80
2020-05-24,73
2020-05-31,77
2020-06-07,78
2020-06-14,75
2020-06-21,73
2020-06-28,71
2020-07-05,74
2020-07-12,72
2020-07-19,70
2020-07-26,68
2020-08-02,73
2020-08-09,72
2020-08-16,78
2020-08-23,82
2020-08-30,86
2020-09-06,83
2020-09-13,86
2020-09-20,88
2020-09-27,83
2020-10-04,78
2020-10-11,78
2020-10-18,76
2020-10-25,74
2020-11-01,68
2020-11-08,77
2020-11-15,77
2020-11-22,71
2020-11-29,74
2020-12-06,70
2020-12-13,67
2020-12-20,54
2020-12-27,49
2021-01-03,68
2021-01-10,76
2021-01-17,75
2021-01-24,74
2021-01-31,76
2021-02-07,71
2021-02-14,69
2021-02-21,73
2021-02-28,73
2021-03-07,69
2021-03-14,69
2021-03-21,70
2021-03-28,59
2021-04-04,64
2021-04-11,64
2021-04-18,67
2021-04-25,67
